formation_start,formation_end,holding_start,holding_end,L_days,VaR_GMV,VaR_MV,VaR_EW,VaR_Active,Real_GMV,Real_MV,Real_EW,Real_Active
2009-01-02,2009-06-30,2009-07-01,2009-09-30,64,0.0,0.02130806971107898,0.0,0.0,0.049517744881999004,0.010194667773789634,0.23863901103069152,0.18476614387919343
2009-04-01,2009-09-30,2009-10-01,2009-12-31,60,0.0,0.02750160652019968,0.0,0.00972509655224146,0.1495014895494342,0.08421229442402622,0.11484820382482974,0.02303327137363631
2009-07-01,2009-12-31,2010-01-01,2010-03-31,59,0.0012895676775553865,0.09100815406959148,0.0,0.017471793273623047,0.06343459952699271,0.051791274664529485,0.04304683921348906,0.009238519145172264
2009-10-01,2010-03-31,2010-04-01,2010-06-30,63,0.0,0.02249332410053826,0.0,0.04506294856931421,0.16461447157808728,0.18118121519857766,0.06379364669214005,0.012078261035225024
2010-01-04,2010-06-30,2010-07-01,2010-09-30,65,0.0,0.0,0.0,0.019836276375287544,0.10955831254740112,0.10919766840921397,0.174455270393852,0.13504941176470675
2010-04-01,2010-09-30,2010-10-01,2010-12-31,64,0.0,0.0,0.0,0.024741467049455776,-0.022100300153442665,-0.01971293648697381,0.015969937386071553,0.017338452225971857
2010-07-01,2010-12-31,2011-01-01,2011-03-31,62,0.03472403893815126,0.05675651243065506,0.007271845259122044,0.007936312713267245,-0.0018327046384088996,-0.004268321257440921,-0.031072978713333588,-0.04902600048903738
2010-10-01,2011-03-31,2011-04-01,2011-06-30,62,0.05602753282869395,0.06975125112445396,0.15913241680067194,0.15907986255337592,0.09017241523633346,0.09849133837947677,0.01366469253578284,-0.03194343261195598
2011-01-03,2011-06-30,2011-07-01,2011-09-30,63,0.0,0.0,0.023528875785723134,0.044291604407459266,0.08075869569277194,0.07478376904532613,-0.07316806901779949,-0.12468569607252933
2011-04-01,2011-09-30,2011-10-01,2011-12-30,60,0.0,0.0,0.0893848219327083,0.13940138101314162,-0.039626257350300675,-0.03646403633173578,-0.0601841105713683,-0.06452232842765449
2011-07-01,2011-12-30,2011-12-31,2012-02-29,41,0.0,0.0,0.11543368864907964,0.13503437814258046,0.052900948736673614,0.061187608449642106,0.20791831408195138,0.16454382284886382
2011-10-03,2012-03-30,2012-03-31,2012-05-31,41,0.0,0.0,0.11547146117597856,0.13211898922439963,0.07532466817968131,0.07801339578285593,-0.03999072091995215,-0.07011547431333831
2012-01-02,2012-06-29,2012-06-30,2012-08-31,43,0.0,0.0,0.06328759356571513,0.10586707930028358,0.02618511445524252,0.02454403576525377,0.0009645556329995753,-0.00386444145560616
2012-04-02,2012-09-28,2012-09-29,2012-11-30,41,0.0042862198786879175,0.009760924091912603,0.07042609387248523,0.09053031181466586,0.07672924185935037,0.07764234987982177,0.05282921618513248,0.030955762453316993
2012-07-02,2012-12-31,2013-01-01,2013-03-28,62,0.0,0.0,0.0,0.0,-0.013779303221407413,-0.009628954795844358,-0.04943013805016738,-0.03768776142656294
2012-10-01,2013-03-28,2013-03-29,2013-05-31,42,0.022659943290334415,0.031081547701375514,0.06790632974734566,0.06745509220301545,0.15681900941561033,0.1594953866982618,0.08902734561979186,0.05339152317181539
2013-01-01,2013-06-28,2013-06-29,2013-08-30,43,0.0,0.015465886608907178,0.07259207928393979,0.07647188193428499,0.07029705203673076,0.07424591092643373,-0.054041924819220655,-0.06340077368114738
2013-04-01,2013-09-30,2013-10-01,2013-12-31,61,0.0,0.0032249069671717702,0.10623958318260787,0.12412271231275501,0.03937165016351396,0.04238151547219049,0.14816511099454321,0.09915784701759267
2013-07-01,2013-12-31,2014-01-01,2014-03-31,62,0.0,0.0,0.0,0.018738870720173585,0.0021778137283785526,0.0017623590699746838,0.07697140893006149,0.06348350253807133
2013-10-01,2014-03-31,2014-04-01,2014-06-30,60,0.0,0.0,0.010785499868389916,0.02976364210947232,0.13550769802337848,0.12933353512348345,0.19383759712099247,0.1353107007547505
2014-01-01,2014-06-30,2014-07-01,2014-09-30,63,0.0,0.0,0.0,0.0,0.2193020864152555,0.2143592448339411,0.10265900096090763,0.046437228612532744
2014-04-01,2014-09-30,2014-10-01,2014-12-31,58,0.0,0.0,0.0,0.0,0.07020159865962472,0.06444397802928248,0.04810738171769158,0.0399131177179588
2014-07-01,2014-12-31,2015-01-01,2015-03-31,61,0.0,0.0,0.0033105341491761033,0.005078846908382206,0.09581071481950554,0.09029800701029012,0.05159353394284172,0.025148804133916514
2014-10-01,2015-03-31,2015-04-01,2015-06-30,61,3.431747923781335e-05,0.019890806016030778,0.0,0.0,0.047840807747543845,0.041369402683863576,0.0041555230020222655,-0.014427040395712298
2015-01-01,2015-06-30,2015-07-01,2015-09-30,64,0.047603262492315584,0.06492767578620244,0.07266648366682593,0.10296890393972682,0.06936967512239933,0.06779341248099358,-0.03676163009456335,-0.050140407480433025
2015-04-01,2015-09-30,2015-10-01,2015-12-31,61,0.0,0.018673143166894016,0.06629253508149546,0.07539782779984568,0.027887669033843654,0.038608564694058156,0.03279350256626046,-0.0003207991042776248
2015-07-01,2015-12-31,2016-01-01,2016-03-31,61,0.0010995798313282012,0.01646239284973195,0.07645917728285,0.08473068444654655,0.005130016349697453,0.011579513428675137,-0.012195247588846714,-0.026169247516155236
2015-10-01,2016-03-31,2016-04-01,2016-06-30,62,0.04477807115202481,0.0699004819033332,0.10125017111939365,0.12195593393589232,0.13344276903795493,0.13767893529671582,0.09919636018659683,0.07099012715806974
2016-01-01,2016-06-30,2016-07-01,2016-09-30,62,0.009612309692847572,0.031938066841384824,0.01534472180168196,0.027107687266514323,0.10202845158216212,0.09864374819633581,0.07304841395369688,0.039021447316823554
2016-04-01,2016-09-30,2016-10-01,2016-12-30,61,0.0,0.0,0.0,0.0,-0.07530730933193874,-0.07121263592009419,-0.050489711977072194,-0.04939526079559575
2016-07-01,2016-12-30,2016-12-31,2017-02-28,40,0.05639990423778543,0.07174473792620893,0.09097614589024404,0.0967587111469137,0.03860513246522923,0.04157172255077857,0.10793069595388194,0.0847565296000401
2016-10-03,2017-03-31,2017-04-01,2017-06-30,61,0.025959600297648475,0.03862901854195969,0.061205302657360745,0.06463393345241503,0.0656583174374541,0.05868268874159366,0.04813252238519783,0.03784166780215248
2017-01-02,2017-06-30,2017-07-01,2017-09-29,63,0.0,0.0,0.0,0.0,0.025421654607510114,0.016614290973804513,0.06153014176742144,0.028117089770925308
2017-04-03,2017-09-29,2017-09-30,2017-11-30,42,0.008223983142038514,0.021382345367152993,0.0,0.028458975073979022,0.014528956079927546,0.0175997148092486,0.07705677005093725,0.04474082095498866
2017-07-03,2017-12-29,2017-12-30,2018-02-28,41,0.012858502631582693,0.02174998524751535,0.004014029246468196,0.030844223992144055,0.05723179844824977,0.059866260921527026,-0.01951087544007324,-0.0035942529936290324
2017-10-03,2018-03-28,2018-03-29,2018-05-31,43,0.009472163357145114,0.01742949671264623,0.0770697814608145,0.07818886908494388,0.1007560475756415,0.0972038245580551,0.04608794294626395,0.06154523072663842
2018-01-01,2018-06-29,2018-06-30,2018-08-31,43,0.01579436893569118,0.030968760418699674,0.07723220614616022,0.08799238697753256,0.0846105986618706,0.0766547264432278,0.11088160281851311,0.09017854642860468
2018-04-02,2018-09-28,2018-09-29,2018-11-30,41,0.0,0.007581195438599737,0.02713911029941537,0.019208395551627466,-0.028845688125191837,-0.023475425873754174,-0.0034185327029483403,-0.004912880988431345
2018-07-02,2018-12-31,2019-01-01,2019-03-29,62,0.030006105841239507,0.0590969162891517,0.0906607892242747,0.09291069130561216,0.10595638792589557,0.09796842386764593,0.04681560940450735,0.07008943572181536
2018-10-01,2019-03-29,2019-03-30,2019-05-31,41,0.02057025040550218,0.030897599610754774,0.047938461918612604,0.023268505087798885,0.04121526253312857,0.046908002789408876,0.03183927190000446,0.025714261134386573
2019-01-01,2019-06-28,2019-06-29,2019-08-30,43,0.0,0.016086428473270808,0.011029125689328501,0.005579985859899042,-0.048502382901569496,-0.03788758483598764,-0.07616932578427793,-0.06494272130021095
2019-04-01,2019-09-30,2019-10-01,2019-12-31,60,0.033129202149690916,0.05162358793731102,0.10867552236228019,0.09619218441677926,-0.015664074540278405,-0.022712169259160864,0.07658612637876883,0.06048220176130403
2019-07-01,2019-12-31,2020-01-01,2020-03-31,63,0.0009621461021477118,0.03273467383820247,0.06422652031300174,0.06362917893332512,-0.10301791261980697,-0.11929729460183425,-0.3057595308363603,-0.2934391808323985
2019-10-01,2020-03-31,2020-04-01,2020-06-30,59,0.07224891597883962,0.20087648185305004,0.3683433878469083,0.36890461004885056,0.1476344487429755,0.287384560032353,0.25553478434683874,0.19823209560640853
2020-01-01,2020-06-30,2020-07-01,2020-09-30,66,0.06174984638516347,0.2171676094294387,0.2774920005274216,0.27939528422070126,0.02234158649474738,0.04043965414598549,0.15554589661138318,0.09177255122741967
2020-04-01,2020-09-30,2020-10-01,2020-12-31,62,0.017043005732835403,0.1980473551355112,0.0,0.0,0.17208800022519521,0.2753602109856883,0.2723572918039383,0.24309294024031836
2020-07-01,2020-12-31,2021-01-01,2021-03-31,61,0.032272573372765276,0.12635806629754057,0.0,0.0,-0.0027242464550858436,-0.015298035448776837,0.12382293532565747,0.05070538380388667
2020-10-01,2021-03-31,2021-04-01,2021-06-30,61,0.017534198585022916,0.16018738035359578,0.0,0.0,0.037204087010236364,0.016972468329851553,0.124760684645711,0.07016684024587017
2021-01-01,2021-06-30,2021-07-01,2021-09-30,63,0.011934985811725769,0.1140643410978563,0.0,0.02397488805914628,0.043628841705081634,0.07753823308474206,0.11156940474492028,0.1206405241230164
2021-04-01,2021-09-30,2021-10-01,2021-12-31,63,0.0,0.0,0.0,0.0,-0.08281542203093728,-0.09435749152531836,0.0006161327479987655,-0.01499022315055809
2021-07-01,2021-12-31,2022-01-01,2022-03-31,61,0.11369046209850862,0.1504818307663406,0.03774712154223822,0.05052665833012135,-0.04545579686082524,-0.032688817855941465,0.014322784759816187,0.006378914432078053
2021-10-01,2022-03-31,2022-04-01,2022-06-30,62,0.04214404661441706,0.07653935627112984,0.054664816699603054,0.07909039430264218,0.05517031093976299,0.06895754619654793,-0.09912871723849515,-0.09645142358178638
2022-01-03,2022-06-30,2022-07-01,2022-09-30,63,0.0,0.05157739544857207,0.11762195854537963,0.11073056244321597,-0.0039077775633304945,-0.015532687817680024,0.12766619458767647,0.0832749798007002
2022-04-01,2022-09-30,2022-10-01,2022-12-30,62,9.40925211455146e-05,0.03310064065593711,0.11521710447603903,0.12076586780655903,0.028559588549113224,0.0237066488412363,0.04287774963682667,0.059139423259732204
